Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Percent Change,Close_MA_3,Close_STD_3,Volume_MA_3,Volume_Spike,Down_Trend,Consecutive_Drops,Trust Score
2025-07-16 09:30:00-04:00,235.5,236.04,233.19,234.49,2053083,0.0,0.0,,,,,False,False,,10
2025-07-16 10:30:00-04:00,234.48,235.96,234.09,235.0,936626,0.0,0.0,0.22,,,,False,False,,10
2025-07-16 11:30:00-04:00,234.98,236.63,233.43,236.35,1428934,0.0,0.0,0.58,235.28,0.97,1472881.0,False,False,0.0,10
2025-07-16 12:30:00-04:00,236.35,238.12,236.14,237.66,1222484,0.0,0.0,0.55,236.34,1.33,1196014.67,False,False,0.0,10
2025-07-16 13:30:00-04:00,237.7,240.24,237.56,240.12,1946991,0.0,0.0,1.04,238.05,1.91,1532803.0,False,False,0.0,9
2025-07-16 14:30:00-04:00,240.17,241.12,239.35,240.57,1898501,0.0,0.0,0.19,239.45,1.57,1689325.33,False,False,0.0,10
2025-07-16 15:30:00-04:00,240.53,241.33,240.15,241.2,1713597,0.0,0.0,0.26,240.63,0.54,1853029.67,False,False,0.0,10
2025-07-17 09:30:00-04:00,243.34,251.6,242.01,250.38,5740896,0.0,0.0,3.8,244.05,5.49,3117664.67,False,False,0.0,7
2025-07-17 10:30:00-04:00,250.41,250.9,249.1,249.59,2583785,0.0,0.0,-0.32,247.05,5.08,3346092.67,False,True,1.0,8
2025-07-17 11:30:00-04:00,249.6,250.0,247.96,247.99,1700101,0.0,0.0,-0.64,249.32,1.21,3341594.0,False,True,2.0,10
2025-07-17 12:30:00-04:00,247.99,248.32,247.12,247.38,1044022,0.0,0.0,-0.25,248.32,1.14,1775969.33,False,True,3.0,8
2025-07-17 13:30:00-04:00,247.44,247.82,246.72,247.32,1286838,0.0,0.0,-0.02,247.56,0.37,1343653.67,False,True,3.0,8
2025-07-17 14:30:00-04:00,247.35,249.24,247.22,249.15,1434466,0.0,0.0,0.74,247.95,1.04,1255108.67,False,False,2.0,10
2025-07-17 15:30:00-04:00,249.19,249.62,248.67,248.98,1915888,0.0,0.0,-0.07,248.48,1.01,1545730.67,False,True,2.0,10
2025-07-18 09:30:00-04:00,248.5,249.68,246.71,247.06,2747100,0.0,0.0,-0.77,248.4,1.16,2032484.67,False,True,2.0,10
2025-07-18 10:30:00-04:00,247.01,247.37,245.0,245.65,1434555,0.0,0.0,-0.57,247.23,1.67,2032514.33,False,True,3.0,8
2025-07-18 11:30:00-04:00,245.65,247.24,245.56,246.13,734241,0.0,0.0,0.2,246.28,0.72,1638632.0,False,False,2.0,10
2025-07-18 12:30:00-04:00,246.13,246.54,245.41,246.47,570789,0.0,0.0,0.14,246.08,0.41,913195.0,False,False,1.0,10
2025-07-18 13:30:00-04:00,246.47,247.36,246.0,246.66,898297,0.0,0.0,0.08,246.42,0.27,734442.33,False,False,0.0,10
2025-07-18 14:30:00-04:00,246.65,247.0,245.69,245.91,857663,0.0,0.0,-0.3,246.35,0.39,775583.0,False,True,1.0,10
2025-07-18 15:30:00-04:00,245.91,246.16,245.2,245.32,1328591,0.0,0.0,-0.24,245.96,0.67,1028183.67,False,True,2.0,10
2025-07-21 09:30:00-04:00,245.31,246.49,243.24,245.65,1681205,0.0,0.0,0.13,245.63,0.3,1289153.0,False,False,2.0,10
2025-07-21 10:30:00-04:00,245.65,246.8,245.41,246.25,727924,0.0,0.0,0.24,245.74,0.47,1245906.67,False,False,1.0,10
2025-07-21 11:30:00-04:00,246.31,246.6,244.0,244.59,848628,0.0,0.0,-0.67,245.5,0.84,1085919.0,False,True,1.0,10
2025-07-21 12:30:00-04:00,244.64,245.96,244.58,245.51,594178,0.0,0.0,0.38,245.45,0.83,723576.67,False,False,1.0,10
2025-07-21 13:30:00-04:00,245.56,245.68,244.35,245.26,497529,0.0,0.0,-0.1,245.12,0.48,646778.33,False,True,2.0,10
2025-07-21 14:30:00-04:00,245.2,245.25,243.53,243.65,746850,0.0,0.0,-0.66,244.81,1.01,612852.33,False,True,2.0,10
2025-07-21 15:30:00-04:00,243.67,244.03,243.37,243.65,930374,0.0,0.0,0.0,244.18,0.93,724917.67,False,False,2.0,10
2025-07-22 09:30:00-04:00,241.98,242.29,235.41,236.71,3875289,0.0,0.0,-2.85,241.34,4.01,1850837.67,True,True,2.0,6
2025-07-22 10:30:00-04:00,236.75,237.6,236.69,237.34,33564,0.0,0.0,0.27,239.23,3.84,1613075.67,False,False,1.0,8
